[0.000 0] 10000;
[0.051 1] 10001;
[0.102 2] 10002;
[0.153 3] 10003;
[0.204 4] 10004;
[0.255 5] 10005;
[0.306 6] 10006;
[0.357 7] 10007;
[0.407 8] 10008;
[0.457 9] 10009;
[0.508 10] 10010;
[0.559 11] 10011;
[0.610 12] 10012;
[0.660 13] 10013;
[0.711 14] 10014;
[0.762 15] 10015;
[0.813 16] 10016;
[0.864 17] 10017;
[0.914 18] 10018;
[0.965 19] 10019;
[1.016 20] 10020;
[1.066 21] 10021;
[1.116 22] 10022;
[1.167 23] 10023;
[1.218 24] 10024;
[1.269 25] 10025;
[1.320 26] 10026;
[1.371 27] 10027;
[1.422 28] 10028;
[1.473 29] 10029;
[1.524 30] 10030;
[1.575 31] 10031;
[1.626 32] 10032;
[1.676 33] 10033;
[1.727 34] 10034;
[1.778 35] 10035;
[1.829 36] 10036;
[1.880 37] 10037;
[1.931 38] 10038;
[1.982 39] 10039;
[2.033 40] 10040;
[2.084 41] 10041;
[2.135 42] 10042;
[2.186 43] 10043;
[2.237 44] 10044;
[2.287 45] 10045;
[2.338 46] 10046;
[2.388 47] 10047;
[2.438 48] 10048;
[2.489 49] 10049;
[2.540 50] 10050;
[2.591 51] 10051;
[2.642 52] 10052;
[2.693 53] 10053;
[2.744 54] 10054;
[2.795 55] 10055;
[2.846 56] 10056;
[2.897 57] 10057;
[2.948 58] 10058;
[2.999 59] 10059;
[3.050 60] 10060;
[3.101 61] 10061;
[3.152 62] 10062;
[3.203 63] 10063;
[3.254 64] 10064;
[3.305 65] 10065;
[3.355 66] 10066;
[3.406 67] 10067;
[3.457 68] 10068;
[3.508 69] 10069;
[3.559 70] 10070;
[3.609 71] 10071;
[3.660 72] 10072;
[3.711 73] 10073;
[3.762 74] 10074;
[3.813 75] 10075;
[3.864 76] 10076;
[3.915 77] 10077;
[3.965 78] 10078;
[4.016 79] 10079;
[4.066 80] 10080;
[4.117 81] 10081;
[4.168 82] 10082;
[4.219 83] 10083;
[4.270 84] 10084;
[4.321 85] 10085;
[4.372 86] 10086;
[4.422 87] 10087;
[4.473 88] 10088;
[4.524 89] 10089;
[4.574 90] 10090;
[4.625 91] 10091;
[4.676 92] 10092;
[4.727 93] 10093;
[4.778 94] 10094;
[4.829 95] 10095;
[4.879 96] 10096;
[4.930 97] 10097;
[4.980 98] 10098;
[5.031 99] 10099;
[5.082 100] 10100;
[5.132 101] 10101;
[5.183 102] 10102;
[5.233 103] 10103;
[5.284 104] 10104;
[5.335 105] 10105;
[5.385 106] 10106;
[5.436 107] 10107;
[5.487 108] 10108;
[5.538 109] 10109;
[5.589 110] 10110;
[5.640 111] 10111;
[5.691 112] 10112;
[5.741 113] 10113;
[5.792 114] 10114;
[5.843 115] 10115;
[5.893 116] 10116;
[5.943 117] 10117;
[5.994 118] 10118;
[6.044 119] 10119;
[6.094 120] 10120;
[6.145 121] 10121;
[6.195 122] 10122;
[6.246 123] 10123;
[6.296 124] 10124;
[6.347 125] 10125;
[6.398 126] 10126;
[6.448 127] 10127;
[6.499 128] 10128;
[6.550 129] 10129;
[6.601 130] 10130;
[6.652 131] 10131;
[6.703 132] 10132;
[6.754 133] 10133;
[6.805 134] 10134;
[6.855 135] 10135;
[6.906 136] 10136;
[6.957 137] 10137;
[7.008 138] 10138;
[7.059 139] 10139;
[7.110 140] 10140;
[7.160 141] 10141;
[7.211 142] 10142;
[7.262 143] 10143;
[7.313 144] 10144;
[7.364 145] 10145;
[7.414 146] 10146;
[7.464 147] 10147;
[7.515 148] 10148;
[7.566 149] 10149;
[7.617 150] 10150;
[7.668 151] 10151;
[7.719 152] 10152;
[7.770 153] 10153;
[7.821 154] 10154;
[7.871 155] 10155;
[7.922 156] 10156;
[7.973 157] 10157;
[8.024 158] 10158;
[8.075 159] 10159;
[8.126 160] 10160;
